status,path,file_type,category,risk,program_attribution,notes
??,docs/issue_12d_validation_plan.md,markdown,Documentation,LOW,"ISSUE-12D","Validation plan"
??,docs/lmat_recommendation_rationale_consistency_audit.md,markdown,Documentation,LOW,"CRA","Audit output"
??,docs/pa_006_algorithm_specification.md,markdown,Documentation,LOW,"PA-006","Algorithm spec"
??,docs/pa_006_allocation_compliance_design.md,markdown,Documentation,LOW,"PA-006","Design doc"
??,docs/pa_006_final_verdict.md,markdown,Documentation,LOW,"PA-006","Verdict doc"
??,docs/pa_006_validation_plan.md,markdown,Documentation,LOW,"PA-006","Validation plan"
??,docs/pap_explain_01_rotation_target_clarity.md,markdown,Documentation,LOW,"CRA","Design doc"
??,docs/pis_007_algorithm_specification.md,markdown,Documentation,LOW,"PIS-007","Algorithm spec"
??,docs/pis_007_allocation_drift_trend_visibility_design.md,markdown,Documentation,LOW,"PIS-007","Design doc"
??,docs/pis_007_final_verdict.md,markdown,Documentation,LOW,"PIS-007","Verdict doc"
??,docs/pis_007_validation_plan.md,markdown,Documentation,LOW,"PIS-007","Validation plan"
??,docs/pis_008_action_attribution_design.md,markdown,Documentation,LOW,"PIS-008","Design doc"
??,docs/pis_008_algorithm_specification.md,markdown,Documentation,LOW,"PIS-008","Algorithm spec"
??,docs/pis_008_final_verdict.md,markdown,Documentation,LOW,"PIS-008","Verdict doc"
??,docs/pis_008_validation_plan.md,markdown,Documentation,LOW,"PIS-008","Validation plan"
??,docs/psx_reduction_consistency_audit.md,markdown,Documentation,LOW,"CRA","Audit output"
??,docs/replay_architecture_review.md,markdown,Documentation,LOW,"Replay","Architecture review"
??,docs/replay_threshold_sensitivity.md,markdown,Documentation,LOW,"Replay","Sensitivity analysis"
??,docs/spaxx_classification_audit.md,markdown,Documentation,LOW,"CRA","Audit output"
??,docs/spcx_classification_investigation.md,markdown,Documentation,LOW,"CRA","Investigation doc"
??,epic_completion_reassessment.md,markdown,Documentation,LOW,"Governance","Epic assessment"
??,epic_refresh_report.md,markdown,Documentation,LOW,"REFRESH-UX","Refresh audit"
??,ess_coverage_04_applicability_audit.md,markdown,Documentation,LOW,"ESS-COVERAGE-AUDIT","Audit output"
??,ess_coverage_05_non_scored_applicability_audit.md,markdown,Documentation,LOW,"ESS-COVERAGE-AUDIT","Audit output"
??,ess_missing_holdings_inventory.csv,csv,Generated Artifact,LOW,"ESS-COVERAGE-AUDIT","Generated inventory"
??,ess_reprocess_audit.md,markdown,Documentation,LOW,"ESS-INTAKE-ORDERING-01","Audit output"
??,ess_warning_execution_gap.md,markdown,Documentation,LOW,"ESS-COVERAGE-AUDIT","Gap analysis"
??,ess_warning_generation_lineage.md,markdown,Documentation,LOW,"ESS-COVERAGE-AUDIT","Lineage doc"
??,ess_warning_post_reprocess_audit.md,markdown,Documentation,LOW,"ESS-COVERAGE-AUDIT","Post-reprocess audit"
??,ess_warning_regeneration_design.md,markdown,Documentation,LOW,"ESS-COVERAGE-AUDIT","Design doc"
??,fmp_coverage_assessment.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","Coverage assessment"
??,freshness_failure_attribution.csv,csv,Generated Artifact,LOW,"DATA-COVERAGE-01","Generated attribution data"
??,implementation_recommendation.md,markdown,Documentation,LOW,"Multiple","Recommendation doc"
??,implementation_summary.md,markdown,Documentation,LOW,"Multiple","Summary doc"
??,incoming_architecture_assessment.md,markdown,Documentation,LOW,"ESS-INTAKE-ORDERING-01","Architecture assessment"
??,incoming_directory_lineage_audit.md,markdown,Documentation,LOW,"ESS-INTAKE-ORDERING-01","Lineage audit"
??,merge_interaction_assessment.md,markdown,Documentation,LOW,"ESS-INTAKE-ORDERING-01","Interaction assessment"
??,metric_validity_assessment.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","Validity assessment"
??,mu_lineage_trace.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","Symbol lineage trace"
??,pa_006_algorithm.md,markdown,Documentation,LOW,"PA-006","Algorithm doc"
??,pa_006_dashboard_design.md,markdown,Documentation,LOW,"PA-006","Dashboard design"
??,pa_006_design.md,markdown,Documentation,LOW,"PA-006","Design doc"
??,pa_006_final_verdict.md,markdown,Documentation,LOW,"PA-006","Verdict doc"
??,pa_006_validation.md,markdown,Documentation,LOW,"PA-006","Validation doc"
??,pa_006a_final_verdict.md,markdown,Documentation,LOW,"PA-006A","Verdict doc"
??,pa_006a_implementation.md,markdown,Documentation,LOW,"PA-006A","Implementation doc"
??,pa_006a_validation.md,markdown,Documentation,LOW,"PA-006A","Validation doc"
??,performance_data_inventory.md,markdown,Documentation,LOW,"Replay","Data inventory"
??,performance_intelligence_backlog_proposals.md,markdown,Documentation,LOW,"Governance","Backlog proposals"
??,performance_methodology_review.md,markdown,Documentation,LOW,"Replay","Methodology review"
??,performance_validation.py,python,Generated Artifact,LOW,"Replay","Ad-hoc validation script — likely temp"
??,performance_validation_results.json,json,Generated Artifact,LOW,"Replay","Generated validation results"
??,performance_validation_results.md,markdown,Documentation,LOW,"Replay","Generated validation output"
??,phase_final_verdict.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","Phase verdict — root level"
??,provider_applicability_inventory.csv,csv,Generated Artifact,LOW,"DATA-COVERAGE-01","Generated inventory"
??,provider_coverage_matrix.csv,csv,Generated Artifact,LOW,"DATA-COVERAGE-01","Generated coverage data"
??,provider_freshness_matrix.csv,csv,Generated Artifact,LOW,"DATA-COVERAGE-01","Generated freshness data"
??,provider_submission_inventory.csv,csv,Generated Artifact,LOW,"DATA-COVERAGE-01","Generated inventory"
??,ranking_confidence_assessment.md,markdown,Documentation,LOW,"DECISION-CONFIDENCE-01","Assessment doc"
??,rebuild_research_universe_trace.md,markdown,Documentation,LOW,"DATA-COVERAGE-01 REFRESH-UX-03","Trace doc"
??,recommendation_confidence_inventory.md,markdown,Documentation,LOW,"DECISION-CONFIDENCE-01","Inventory doc"
??,recommendation_freshness_audit.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","Audit output"
??,recommendation_freshness_panel_design.md,markdown,Documentation,LOW,"REFRESH-UX-02","Panel design"
??,refresh_batch_reconciliation.md,markdown,Documentation,LOW,"REFRESH-UX-02","Reconciliation doc"
??,refresh_completion_confidence.md,markdown,Documentation,LOW,"REFRESH-UX-02","Confidence doc"
??,refresh_health_02a_required_questions.md,markdown,Documentation,LOW,"REFRESH-UX-02","Question log"
??,refresh_metric_lineage.md,markdown,Documentation,LOW,"REFRESH-UX-03","Lineage doc"
??,refresh_mode_coverage_matrix.md,markdown,Documentation,LOW,"REFRESH-UX-05","Coverage matrix"
??,refresh_portfolio_signals_validation.md,markdown,Documentation,LOW,"REFRESH-UX-01","Validation doc"
??,refresh_progress_semantics.md,markdown,Documentation,LOW,"REFRESH-UX-02","Semantics doc"
??,refresh_timeline_reconstruction.md,markdown,Documentation,LOW,"REFRESH-UX-02","Timeline reconstruction"
??,research_universe_composition.csv,csv,Generated Artifact,LOW,"DATA-COVERAGE-01","Generated universe data"
??,research_universe_freshness_lineage.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","Lineage doc"
??,scripts/prepare_portfolio_review.py,python,Portfolio Review Script,MEDIUM,"Portfolio Review","New portfolio review script — needs review before commit"
??,signal_conflict_backtest.md,markdown,Documentation,LOW,"ISSUE-12D DISLOCATION-02","Backtest output"
??,signal_conflict_current_portfolio.md,markdown,Documentation,LOW,"ISSUE-12D","Current portfolio doc"
??,signal_conflict_design.md,markdown,Documentation,LOW,"ISSUE-12D","Design doc"
??,signal_conflict_final_verdict.md,markdown,Documentation,LOW,"ISSUE-12D","Verdict doc"
??,signal_conflict_validation.md,markdown,Documentation,LOW,"ISSUE-12D","Validation doc"
??,signal_gov_02a_final_verdict.md,markdown,Documentation,LOW,"SIGNAL-GOV-02A","Verdict doc"
??,signal_gov_02a_implementation.md,markdown,Documentation,LOW,"SIGNAL-GOV-02A","Implementation doc"
??,signal_gov_02a_validation.md,markdown,Documentation,LOW,"SIGNAL-GOV-02A","Validation doc"
??,signal_governance_backtest.md,markdown,Documentation,LOW,"SIGNAL-GOV-02A","Backtest output"
??,signal_governance_current_portfolio.md,markdown,Documentation,LOW,"SIGNAL-GOV-02A","Current portfolio doc"
??,signal_governance_design.md,markdown,Documentation,LOW,"SIGNAL-GOV-02A","Design doc"
??,signal_governance_final_verdict.md,markdown,Documentation,LOW,"SIGNAL-GOV-02A","Verdict doc"
??,signal_governance_validation.md,markdown,Documentation,LOW,"SIGNAL-GOV-02A","Validation doc"
??,signal_ux_01_runtime_audit.md,markdown,Documentation,LOW,"SIGNAL-UX-01","Runtime audit"
??,signal_ux_01_validation_report.md,markdown,Documentation,LOW,"SIGNAL-UX-01","Validation report"
??,sih_platform_maturity_assessment.md,markdown,Documentation,LOW,"Governance","Maturity assessment"
??,sih_v1_closeout_report.md,markdown,Documentation,LOW,"Governance","Closeout report"
??,sih_v1_release_notes.md,markdown,Documentation,LOW,"Governance","Release notes"
??,simo_warning_analysis.md,markdown,Documentation,LOW,"ESS-COVERAGE-AUDIT","Symbol analysis"
??,src/mei/,directory,New Source Module,LOW,"MEI Phase 1","MEI package — new module, not modifying existing scoring"
??,src/pis/action_attribution.py,python,New Source Module,LOW,"PIS-008","New PIS attribution module"
??,src/pis/allocation_compliance.py,python,New Source Module,LOW,"PA-006","New allocation compliance module"
??,src/pis/allocation_drift.py,python,New Source Module,LOW,"PA-006A","New drift module"
??,src/pis/dislocation_outcome_review.py,python,New Source Module,LOW,"ISSUE-12D","New dislocation review module"
??,src/pis/drift_trend_analyzer.py,python,New Source Module,LOW,"PA-006B","New drift trend analyzer"
??,src/pis/policy_change_summary.py,python,New Source Module,LOW,"AI-004B","New policy change summary module"
??,src/pis/policy_version_diff.py,python,New Source Module,LOW,"AI-004B","New policy version diff module"
??,src/portfolio/drift_analyzer.py,python,New Source Module,LOW,"PA-006A","New drift analyzer — display only per memory notes"
??,src/portfolio/signal_conflict_classifier.py,python,New Source Module,LOW,"SIGNAL-GOV-02A","New conflict classifier"
??,src/sih/conflict_alpha_analysis.py,python,New Source Module,LOW,"DISLOCATION-02","New conflict alpha module — read-only research per memory"
??,src/sih/predictive/,directory,New Source Module,LOW,"Predictive Intelligence EPIC","New predictive package — read-only per memory notes"
??,src/sih/security_conflict_alpha.py,python,New Source Module,LOW,"DISLOCATION-03","New security conflict alpha — display-only per memory"
??,src/sih/signal_conflict_review.py,python,New Source Module,LOW,"ISSUE-12D","New signal conflict review module"
??,tests/test_ai_004b_policy_change_summary.py,python_test,Tests,LOW,"AI-004B","43 tests per memory notes"
??,tests/test_allocation_compliance.py,python_test,Tests,LOW,"PA-006","New test file"
??,tests/test_conflict_alpha_analysis.py,python_test,Tests,LOW,"DISLOCATION-02","41 tests per memory notes"
??,tests/test_cra_explain_02.py,python_test,Tests,LOW,"CRA-EXPLAIN-02","32 tests per memory notes"
??,tests/test_dislocation_06_calibration.py,python_test,Tests,LOW,"DISLOCATION-06","37 tests per memory notes"
??,tests/test_dislocation_07_directional.py,python_test,Tests,LOW,"DISLOCATION-07","66 tests per memory notes"
??,tests/test_dislocation_outcome_review.py,python_test,Tests,LOW,"ISSUE-12D","New test file"
??,tests/test_ess_coverage_semantics.py,python_test,Tests,LOW,"ESS-COVERAGE-AUDIT","New test file"
??,tests/test_mei_002_outcome_tracker.py,python_test,Tests,LOW,"MEI","New MEI test file"
??,tests/test_mei_phase_001.py,python_test,Tests,LOW,"MEI","46 tests per memory notes"
??,tests/test_pa_006a_drift_analyzer.py,python_test,Tests,LOW,"PA-006A","New test file"
??,tests/test_pa_006b_drift_intelligence.py,python_test,Tests,LOW,"PA-006B","60 tests per memory notes"
??,tests/test_pis_action_attribution.py,python_test,Tests,LOW,"PIS-008","New test file"
??,tests/test_pis_allocation_drift_trends.py,python_test,Tests,LOW,"PA-006","New test file"
??,tests/test_policy_version_diff.py,python_test,Tests,LOW,"AI-004B","New test file"
??,tests/test_predictive_intelligence_epic.py,python_test,Tests,LOW,"Predictive Intelligence EPIC","24 tests per memory notes"
??,tests/test_security_conflict_alpha.py,python_test,Tests,LOW,"DISLOCATION-03","41 tests per memory notes"
??,tests/test_signal_conflict_review.py,python_test,Tests,LOW,"ISSUE-12D","66 tests per memory notes"
??,tests/test_signal_gov_02a_conflict_classifier.py,python_test,Tests,LOW,"SIGNAL-GOV-02A","New test file"
??,ui/signal_translation_registry.js,javascript,UI,LOW,"SIGNAL-UX-01","New signal translation registry"
??,ui_render_path_trace.md,markdown,Documentation,LOW,"REFRESH-UX","Trace doc"
??,ui_wireframe_candidate_confidence.md,markdown,Documentation,LOW,"DECISION-CONFIDENCE-01","Wireframe doc"
??,zacks_freshness_reconciliation.md,markdown,Documentation,LOW,"DATA-COVERAGE-01","Reconciliation doc"
