archetype,rank_in_archetype,symbol,composite_score,ess_score,zacks_rating,danelfin_score,persistence_score,fms_score,sector,key_evidence
A_ACCELERATING_COMPOUNDER,22,MCHP,4.944,BULLISH,5.0,5.0,51.2,48,TECHNOLOGY,"Microchip; deep recovery play; revenue recovering +7%; EPS near zero but recovering; Danelfin 5.0 suggests next leg up"
A_ACCELERATING_COMPOUNDER,23,JYNT,4.722,VERY_BULLISH,5.0,3.0,36.4,48,HEALTHCARE,"The Joint Corp; chiropractic franchise recovery; improving unit economics; revenue +10%; margins recovering"
A_ACCELERATING_COMPOUNDER,24,SHO,4.722,VERY_BULLISH,5.0,3.0,36.0,45,REAL ESTATE,"Sunstone Hotel; RevPAR recovery; FCF improving; select-service REIT premium"
A_ACCELERATING_COMPOUNDER,25,FLXS,4.778,VERY_BULLISH,5.0,3.0,74.3,45,CONSUMER CYCLICAL,"Flexsteel Industries; furniture recovery; revenue +10%; EPS +50%; housing cycle normalization"
B_RECOVERY_STORY,1,MU,4.722,VERY_BULLISH,5.0,3.0,93.8,75,TECHNOLOGY,"Revenue trough $15.5B (FY2023)→$58.1B TTM; EPS -$5.34→$21.53; gross margin -9%→58.4%; HBM/AI structural"
B_RECOVERY_STORY,2,STX,4.778,VERY_BULLISH,5.0,3.0,39.8,65,TECHNOLOGY,"Revenue trough $6.6B (FY2024)→$11.0B TTM; EPS -$2.56→$10.54; near prior peak; AI nearline HDD demand"
B_RECOVERY_STORY,3,ARW,4.889,VERY_BULLISH,5.0,4.0,88.9,64,TECHNOLOGY,"Revenue $27.9B (FY2023 trough)→$33.5B TTM (+21%); EPS $7.29→$13.98; early analyst recognition; thin 4-analyst coverage"
B_RECOVERY_STORY,4,GMED,4.722,VERY_BULLISH,5.0,3.0,72.2,62,HEALTHCARE,"Post-merger integration; EPS $0.75→$4.30; revenue +24%; FCF recovering; margins expanding"
B_RECOVERY_STORY,5,MYRG,4.889,VERY_BULLISH,5.0,4.0,97.6,60,INDUSTRIALS,"EPS $1.83 FY2023 trough→$9.07 TTM; revenue +13%; data center electrical construction acceleration"
B_RECOVERY_STORY,6,SNDK,4.722,VERY_BULLISH,5.0,3.0,96.9,58,TECHNOLOGY,"WD flash storage spin-off; NAND recovery; revenue +25%; margins expanding from trough; AI storage demand"
B_RECOVERY_STORY,7,SNX,4.778,VERY_BULLISH,5.0,3.0,98.7,57,TECHNOLOGY,"IT distribution; EPS $5.85 FY2023 trough→$10.78 TTM; revenue +10%; AI cloud hardware"
B_RECOVERY_STORY,8,BFH,4.722,VERY_BULLISH,5.0,3.0,82.9,55,FINANCIAL SERVICES,"Consumer credit cycle; EPS FY2024 trough $5.49→$12.21 TTM; revenue +8%; loss provisioning normalizing"
B_RECOVERY_STORY,9,TXN,4.944,VERY_BULLISH,5.0,5.0,95.3,52,TECHNOLOGY,"Analog semiconductor; revenue trough FY2024 $15.6B→$18.4B TTM; margins still below $20B peak margins"
B_RECOVERY_STORY,10,MCHP,4.944,BULLISH,5.0,5.0,51.2,48,TECHNOLOGY,"MCU chips; revenue -42% FY2025; deep inventory correction; earliest stage recovery; EPS near-zero recovering"
B_RECOVERY_STORY,11,JYNT,4.722,VERY_BULLISH,5.0,3.0,36.4,48,HEALTHCARE,"Chiropractic franchise; over-expansion corrected; improving unit economics; recovering trajectory"
B_RECOVERY_STORY,12,FLEX,4.833,VERY_BULLISH,5.0,4.0,98.0,42,TECHNOLOGY,"EMS manufacturer; revenue recovering; margins +150bps from trough; AI server assembly demand"
B_RECOVERY_STORY,13,TREE,4.778,VERY_BULLISH,5.0,3.0,98.5,40,FINANCIAL SERVICES,"Mortgage marketplace; revenue +31%/+39%; FCF positive; GAAP losses narrowing; rate tailwind"
B_RECOVERY_STORY,14,FLXS,4.778,VERY_BULLISH,5.0,3.0,74.3,45,CONSUMER CYCLICAL,"Furniture recovery; revenue +10%; margins expanding; housing cycle normalization"
B_RECOVERY_STORY,15,PRG,4.722,VERY_BULLISH,5.0,3.0,52.6,45,FINANCIAL SERVICES,"PROG Holdings; lease-to-own; consumer stress normalizing; metrics improving"
B_RECOVERY_STORY,16,SHO,4.722,VERY_BULLISH,5.0,3.0,36.0,45,REAL ESTATE,"Hotel REIT; RevPAR recovery; FCF recovering; select-service premium"
B_RECOVERY_STORY,17,BHE,4.769,VERY_BULLISH,,4.0,88.0,42,TECHNOLOGY,"Benchmark Electronics; EMS recovery; margins expanding; electronics cycle"
B_RECOVERY_STORY,18,ELMD,4.722,VERY_BULLISH,5.0,3.0,85.5,52,HEALTHCARE,"Electromed; niche medical device; revenue +15%; margins high; growth recovery"
B_RECOVERY_STORY,19,CTS,4.833,VERY_BULLISH,5.0,4.0,87.8,52,TECHNOLOGY,"Electronic sensors; industrial recovery; margins solid; end-market diversification"
B_RECOVERY_STORY,20,SWBI,4.769,BULLISH,,4.0,38.2,38,INDUSTRIALS,"American Outdoor Brands; firearms demand cycle; recovering from post-COVID normalization"
B_RECOVERY_STORY,21,MCY,4.722,VERY_BULLISH,5.0,3.0,37.3,42,FINANCIAL SERVICES,"Mercury General; catastrophe year recovery; premiums growing; EPS +25%"
B_RECOVERY_STORY,22,NGVC,4.692,BULLISH,,3.0,97.1,38,CONSUMER DEFENSIVE,"Natural Grocers; same-store recovery; revenue +8%; improving margins"
B_RECOVERY_STORY,23,DVA,4.778,VERY_BULLISH,5.0,3.0,39.3,45,HEALTHCARE,"DaVita dialysis; revenue +6.7%; FCF recovery from COVID disruption; consistent"
B_RECOVERY_STORY,24,MCRI,4.722,VERY_BULLISH,5.0,3.0,92.4,38,CONSUMER CYCLICAL,"Monarch Casino; hospitality recovery; consistent operating improvement"
B_RECOVERY_STORY,25,MUSA,4.778,VERY_BULLISH,5.0,3.0,37.9,38,CONSUMER CYCLICAL,"Murphy USA; fuel retail; EPS +10%; consistent growth"
C_STEADY_EXECUTOR,1,DVA,4.778,VERY_BULLISH,5.0,3.0,39.3,45,HEALTHCARE,"Dialysis services; +5-7% annual revenue; 20% EBITDA margin stable; $1.4B FCF; regulated pricing"
C_STEADY_EXECUTOR,2,FMX,5.000,BULLISH,5.0,,28.8,40,CONSUMER DEFENSIVE,"FEMSA; beverages/convenience/pharmacy; +6% revenue; stable Latin American business"
C_STEADY_EXECUTOR,3,FWONA,5.000,,5.0,,34.3,35,COMMUNICATION SERVICES,"Liberty Formula One; media rights; +8% revenue; F1 viewership growth; consistent"
C_STEADY_EXECUTOR,4,SNX,4.778,VERY_BULLISH,5.0,3.0,98.7,57,TECHNOLOGY,"TD SYNNEX; IT distribution; +10% revenue; EPS +50% (recovery element); consistent operator"
C_STEADY_EXECUTOR,5,GNE,4.846,VERY_BULLISH,,4.0,84.9,38,ENERGY,"Genie Energy; retail energy; +5% revenue; consistent margins; utility-like stability"
C_STEADY_EXECUTOR,6,SHBI,4.889,VERY_BULLISH,5.0,4.0,99.4,38,FINANCIAL SERVICES,"Shore Bankshares; community bank; +5% revenue; consistent NIM; stable credit"
C_STEADY_EXECUTOR,7,RBB,4.889,VERY_BULLISH,5.0,4.0,98.2,36,FINANCIAL SERVICES,"RBB Bancorp; CA community bank; steady deposit growth; conservative credit"
C_STEADY_EXECUTOR,8,MSBI,4.833,VERY_BULLISH,5.0,4.0,37.4,36,FINANCIAL SERVICES,"Midland States Bancorp; regional bank; consistent modest growth"
C_STEADY_EXECUTOR,9,ARKO,4.778,VERY_BULLISH,5.0,3.0,54.0,35,CONSUMER CYCLICAL,"ARKO; gas stations/convenience; +3% revenue; low-margin but consistent"
C_STEADY_EXECUTOR,10,MUSA,4.778,VERY_BULLISH,5.0,3.0,37.9,38,CONSUMER CYCLICAL,"Murphy USA; fuel retail; +4% revenue; consistent FCF; reliable operator"
C_STEADY_EXECUTOR,11,WMG,4.778,VERY_BULLISH,5.0,3.0,35.7,38,COMMUNICATION SERVICES,"Warner Music; streaming royalties; +6% revenue; recurring licensing; steady"
C_STEADY_EXECUTOR,12,IMKTA,4.769,VERY_BULLISH,,4.0,98.8,35,CONSUMER DEFENSIVE,"Ingles Markets; southeastern grocery; +5% revenue; defensive; consistent"
C_STEADY_EXECUTOR,13,VLGEA,4.769,VERY_BULLISH,,4.0,88.4,32,CONSUMER DEFENSIVE,"Village Super Market; NJ grocery; +3% revenue; community grocer; steady"
C_STEADY_EXECUTOR,14,MCRI,4.722,VERY_BULLISH,5.0,3.0,92.4,38,CONSUMER CYCLICAL,"Monarch Casino; Nevada gaming; +5% revenue; 22% EBITDA margin; regulated"
C_STEADY_EXECUTOR,15,WEYS,4.769,VERY_BULLISH,,4.0,57.2,32,CONSUMER CYCLICAL,"Weyco Group; footwear; +3% revenue; consistent dividends; no extremes"
C_STEADY_EXECUTOR,16,MCY,4.722,VERY_BULLISH,5.0,3.0,37.3,42,FINANCIAL SERVICES,"Mercury General; auto insurance; +10% premiums; consistent underwriting"
C_STEADY_EXECUTOR,17,NGVC,4.692,BULLISH,,3.0,97.1,38,CONSUMER DEFENSIVE,"Natural Grocers; organic specialty; +8% revenue; consistent same-store"
C_STEADY_EXECUTOR,18,THG,4.667,VERY_BULLISH,5.0,2.0,93.0,42,FINANCIAL SERVICES,"Hanover Insurance; +12% premiums; disciplined underwriting; consistent book value growth"
C_STEADY_EXECUTOR,19,SWBI,4.769,BULLISH,,4.0,38.2,38,INDUSTRIALS,"American Outdoor Brands; +5% revenue; steady firearms demand; consistent margins"
C_STEADY_EXECUTOR,20,FLEX,4.833,VERY_BULLISH,5.0,4.0,98.0,42,TECHNOLOGY,"Flex EMS; +8% revenue; thin margins but consistent; AI server assembly tailwind"
C_STEADY_EXECUTOR,21,ARKO,4.778,VERY_BULLISH,5.0,3.0,54.0,35,CONSUMER CYCLICAL,"Gas station convenience; steady low-margin growth; reliable"
C_STEADY_EXECUTOR,22,BFH,4.722,VERY_BULLISH,5.0,3.0,82.9,55,FINANCIAL SERVICES,"Bread Financial; consumer credit; recovering to steady executor trajectory"
C_STEADY_EXECUTOR,23,DVA,4.778,VERY_BULLISH,5.0,3.0,39.3,45,HEALTHCARE,"DaVita; regulated dialysis; +7% revenue; $1.4B FCF; long-term steadiness"
C_STEADY_EXECUTOR,24,CSTM,4.833,VERY_BULLISH,5.0,4.0,54.9,40,BASIC MATERIALS,"Constellium aluminum; +5% revenue; aerospace demand steady; moderate quality"
C_STEADY_EXECUTOR,25,PRG,4.722,VERY_BULLISH,5.0,3.0,52.6,45,FINANCIAL SERVICES,"PROG Holdings; lease-to-own; recovering toward steady executor profile"
D_CYCLICAL_REBOUND,1,TNK,4.833,VERY_BULLISH,5.0,4.0,99.6,35,ENERGY,"Teekay Tankers; revenue peaked FY2023 $1.47B→$1.0B TTM; tanker rates normalizing; signals expect recovery; profitable at trough"
D_CYCLICAL_REBOUND,2,STNG,4.714,VERY_BULLISH,5.0,4.0,98.0,38,ENERGY,"Scorpio Tankers; revenue peaked $1.56B (FY2022)→$1.04B TTM; product tanker cycle; high margins but declining"
D_CYCLICAL_REBOUND,3,MPC,4.778,VERY_BULLISH,5.0,3.0,97.5,30,ENERGY,"Marathon Petroleum; revenue peaked $177B FY2022→$135B TTM; crack spread compression; FCF $30B→$5.7B; buyback-inflated EPS"
D_CYCLICAL_REBOUND,4,VLO,4.778,VERY_BULLISH,5.0,3.0,96.4,28,ENERGY,"Valero; revenue peaked $176B→$124B TTM; EPS $29→$13.76; margin compression 10%→7.3%; refining cycle"
D_CYCLICAL_REBOUND,5,CVE,4.833,VERY_BULLISH,5.0,4.0,87.7,38,ENERGY,"Cenovus; CAD revenue peaked $66.9B FY2022→$48.8B TTM; EPS recovering from FY2024 trough; oil price cycle"
D_CYCLICAL_REBOUND,6,DINO,4.722,VERY_BULLISH,5.0,3.0,79.9,26,ENERGY,"HF Sinclair refining; revenue $38.2B→$27.6B TTM; EPS $14.28 peak→$0.91 trough→$6.65 TTM; refining cycle"
D_CYCLICAL_REBOUND,7,INSW,4.833,VERY_BULLISH,5.0,4.0,37.2,32,ENERGY,"International Seaways; tanker cycle; post-peak declining revenue; signals expect recovery"
D_CYCLICAL_REBOUND,8,CHRD,4.778,BULLISH,5.0,3.0,89.1,20,ENERGY,"Chord Energy; Williston Basin; EPS near-loss TTM; FCF declining; oil price dependent trough"
D_CYCLICAL_REBOUND,9,GPRE,4.778,VERY_BULLISH,5.0,3.0,48.9,22,BASIC MATERIALS,"Green Plains; ethanol; corn/energy price cycle; commodity trough recovery signal"
D_CYCLICAL_REBOUND,10,CSTM,4.833,VERY_BULLISH,5.0,4.0,54.9,40,BASIC MATERIALS,"Constellium aluminum; industrial metals cycle; aerospace/auto demand recovery"
D_CYCLICAL_REBOUND,11,NEXA,5.000,,5.0,,34.3,,BASIC MATERIALS,"Nexa Resources; zinc miner; base metals cycle; Zacks-only"
D_CYCLICAL_REBOUND,12,KALU,5.000,,5.0,,34.3,,BASIC MATERIALS,"Kaiser Aluminum; aluminum; industrial cycle; Zacks-only"
D_CYCLICAL_REBOUND,13,PARR,5.000,,5.0,,28.8,,ENERGY,"Par Pacific; refining; crack spread cycle; Zacks-only"
D_CYCLICAL_REBOUND,14,SBLK,5.000,,5.0,,28.8,,INDUSTRIALS,"Star Bulk Carriers; dry bulk shipping; BDI rate cycle"
D_CYCLICAL_REBOUND,15,SHIP,5.000,,5.0,,28.8,,INDUSTRIALS,"Seanergy Maritime; dry bulk shipping; BDI cycle; Zacks-only"
D_CYCLICAL_REBOUND,16,SU,4.667,VERY_BULLISH,4.0,5.0,96.4,35,ENERGY,"Suncor Energy; integrated Canadian oil; revenue declining from peak; cycle recovery expected"
D_CYCLICAL_REBOUND,17,OMVKY,5.000,,5.0,,28.8,,ENERGY,"OMV AG; European integrated oil; commodity cycle; ADR Zacks-only"
D_CYCLICAL_REBOUND,18,REPYY,5.000,,5.0,,28.8,,ENERGY,"Repsol; Spanish oil; energy cycle; ADR Zacks-only"
D_CYCLICAL_REBOUND,19,EC,5.000,,5.0,,28.8,,ENERGY,"Ecopetrol; Colombian oil; energy cycle; Zacks-only"
D_CYCLICAL_REBOUND,20,YPF,5.000,BULLISH,5.0,,26.8,,ENERGY,"YPF Argentina; oil/gas; energy cycle + country risk; ESS BULLISH"
D_CYCLICAL_REBOUND,21,DRD,5.000,,5.0,,28.8,,BASIC MATERIALS,"DRDGold; South African gold; gold price cycle"
D_CYCLICAL_REBOUND,22,SSL,5.000,,5.0,,28.8,,BASIC MATERIALS,"Sasol; chemicals/energy SA; commodity cycle"
D_CYCLICAL_REBOUND,23,GLP,5.000,,5.0,,28.8,,ENERGY,"Global Partners LP; petroleum distribution; energy price cycle"
D_CYCLICAL_REBOUND,24,ASMIY,5.000,VERY_BULLISH,5.0,,28.8,,TECHNOLOGY,"ASM International ADR; semiconductor equipment; equipment cycle recovery"
D_CYCLICAL_REBOUND,25,VIST,5.000,BEARISH,5.0,,28.8,,ENERGY,"Vista Energy Argentina; oil cycle; conflicting signals (ESS BEARISH)"
F_FUNDAMENTAL_DIVERGENCE,1,PSX,4.722,VERY_BULLISH,5.0,3.0,95.9,24,ENERGY,"Phillips 66 — FCF collapsed 95% to $119M TTM from $8.9B peak FY2022; revenue declining; operating margin 2.12%; signals remain VERY_BULLISH — structural divergence"
F_FUNDAMENTAL_DIVERGENCE,2,LYB,4.722,BULLISH,5.0,3.0,98.2,15,BASIC MATERIALS,"LyondellBasell — operating LOSSES TTM; EPS negative; revenue -41% from $50.5B peak; EBITDA margin 3.8%; signals remain BULLISH — deep petrochemical trough divergence"
F_FUNDAMENTAL_DIVERGENCE,3,DINO,4.722,VERY_BULLISH,5.0,3.0,79.9,26,ENERGY,"HF Sinclair — borderline F_DIV: EPS $14.28→$0.91→$6.65; structural refining margin loss; signals VERY_BULLISH despite near-zero profitability period"
F_FUNDAMENTAL_DIVERGENCE,4,CHRD,4.778,BULLISH,5.0,3.0,89.1,20,ENERGY,"Chord Energy — EPS negative TTM (-$1.07); FCF declining; signals BULLISH expecting oil price recovery; fundamental reality: near-loss business"
F_FUNDAMENTAL_DIVERGENCE,5,LQDA,4.722,BULLISH,5.0,3.0,35.8,,HEALTHCARE,"Liquidia — pre-revenue/early-revenue biopharma; signals driven by drug approval thesis; no meaningful fundamental support"
F_FUNDAMENTAL_DIVERGENCE,6,IDR,4.944,VERY_BULLISH,5.0,5.0,52.8,,BASIC MATERIALS,"Idaho Strategic Resources — tiny gold/silver miner; signals very bullish but business too small; price action likely signal driver not fundamentals"
